strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
23500CE,23500CE,SELL,51.0,27.3,-1800,20250321,1002,42.0,20250321,1028,51.0,SSL,-16200.0
23550CE,23550CE,SELL,50.85,27.2025,-1800,20250321,1032,41.85,20250321,1047,50.85,SSL,-16200.0
23000PE,23000PE,SELL,50.85,27.2025,-1800,20250321,955,41.85,20250321,1221,27.2025,ST,26365.5
23050PE,23050PE,SELL,50.9,27.235,-1800,20250321,1039,41.9,20250321,1510,34.15,INTRA,13950.0
