strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
22550CE,22550CE,SELL,49.0,26.0,-1800,20250312,1000,40.0,20250312,1054,26.0,ST,25200.0
22600CE,22600CE,SELL,49.5,26.325,-1800,20250312,951,40.5,20250312,1001,26.325,ST,25515.0
22300PE,22300PE,SELL,48.15,25.447499999999998,-1800,20250312,1016,39.15,20250312,1138,48.15,SSL,-16200.0
22350PE,22350PE,SELL,50.75,27.137500000000003,-1800,20250312,947,41.75,20250312,1004,50.75,SSL,-16200.0
22400PE,22400PE,SELL,50.95,27.267500000000002,-1800,20250312,950,41.95,20250312,955,50.95,SSL,-16200.0
