strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
22500PE,22500PE,SELL,46.4,24.31,-1800,20250313,947,37.4,20250313,958,24.31,ST,23562.0
22550PE,22550PE,SELL,47.45,24.9925,-1800,20250313,1002,38.45,20250313,1043,47.45,SSL,-16200.0
