strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
22250CE,22250CE,SELL,49.25,26.1625,-1800,20250304,957,40.25,20250304,1106,49.25,SSL,-16200.0
21900PE,21900PE,SELL,49.75,26.487499999999997,-1800,20250304,948,40.75,20250304,1510,33.7,INTRA,12689.999999999995
