strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
22850CE,22850CE,SELL,48.8,25.869999999999997,-1800,20250307,1001,39.8,20250307,1008,48.8,SSL,-16200.0
22900CE,22900CE,SELL,49.75,26.487499999999997,-1800,20250307,1015,40.75,20250307,1017,49.75,SSL,-16200.0
22150PE,22150PE,SELL,49.35,26.2275,-1800,20250307,948,40.35,20250307,1008,26.2275,ST,25420.500000000004
22200PE,22200PE,SELL,49.85,26.552500000000002,-1800,20250307,953,40.85,20250307,1445,26.552500000000002,ST,25735.5
22250PE,22250PE,SELL,50.5,26.974999999999998,-1800,20250307,1007,41.5,20250307,1202,50.5,SSL,-16200.0
