strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
23000CE,23000CE,SELL,48.6,25.740000000000002,-1800,20250319,1020,39.6,20250319,1024,48.6,SSL,-16200.0
22750PE,22750PE,SELL,49.6,26.39,-1800,20250319,947,40.6,20250319,1435,26.39,ST,25578.0
22800PE,22800PE,SELL,49.9,26.585,-1800,20250319,1018,40.9,20250319,1051,49.9,SSL,-16200.0
