strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
24050CE,24050CE,SELL,47.5,25.025,-1800,20250325,1037,38.5,20250325,1139,25.025,ST,24255.000000000004
24100CE,24100CE,SELL,49.55,26.357499999999998,-1800,20250325,1014,40.55,20250325,1055,26.357499999999998,ST,25546.5
24150CE,24150CE,SELL,48.75,25.8375,-1800,20250325,1002,39.75,20250325,1037,25.8375,ST,25042.500000000004
23500PE,23500PE,SELL,45.5,23.725,-1800,20250325,1016,36.5,20250325,1038,45.5,SSL,-16200.0
23550PE,23550PE,SELL,51.0,27.3,-1800,20250325,949,42.0,20250325,1014,51.0,SSL,-16200.0
