strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
22350CE,22350CE,SELL,50.4,26.91,-1800,20250305,945,41.4,20250305,948,50.4,SSL,-16200.0
22150PE,22150PE,SELL,50.7,27.105000000000004,-1800,20250305,1036,41.7,20250305,1136,27.105000000000004,ST,26270.999999999996
