strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
22850CE,22850CE,SELL,50.5,26.974999999999998,-1800,20250318,956,41.5,20250318,1000,50.5,SSL,-16200.0
22500PE,22500PE,SELL,50.0,26.65,-1800,20250318,1000,41.0,20250318,1312,26.65,ST,25830.000000000004
22550PE,22550PE,SELL,50.2,26.78,-1800,20250318,1044,41.2,20250318,1443,26.78,ST,25956.000000000004
