strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
24250CE,24250CE,SELL,50.8,27.169999999999998,-1800,20250201,951,41.8,20250201,1150,27.169999999999998,ST,26334.0
22750PE,22750PE,SELL,49.95,26.6175,-1800,20250201,952,40.95,20250201,1151,49.95,SSL,-16200.0
22800PE,22800PE,SELL,50.3,26.845,-1800,20250201,1024,41.3,20250201,1151,60.05,ES,-33750.0
22850PE,22850PE,SELL,50.45,26.942500000000003,-1800,20250201,1041,41.45,20250201,1102,50.45,SSL,-16200.0
