strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
23800CE,23800CE,SELL,47.35,24.927500000000002,-1800,20250326,945,38.35,20250326,955,47.35,SSL,-16200.0
23850CE,23850CE,SELL,49.9,26.585,-1800,20250326,1038,40.9,20250326,1151,26.585,ST,25766.999999999996
23550PE,23550PE,SELL,49.2,26.130000000000003,-1800,20250326,955,40.2,20250326,1104,49.2,SSL,-16200.0
23600PE,23600PE,SELL,49.5,26.325,-1800,20250326,1034,40.5,20250326,1057,49.5,SSL,-16200.0
