strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
22900CE,22900CE,SELL,45.4,23.659999999999997,-1800,20250220,945,36.4,20250220,959,45.4,SSL,-16200.0
22800PE,22800PE,SELL,48.9,25.935,-1800,20250220,948,39.9,20250220,956,25.935,ST,25137.0
22850PE,22850PE,SELL,50.7,27.105000000000004,-1800,20250220,955,41.7,20250220,1020,27.105000000000004,ST,26270.999999999996
22900PE,22900PE,SELL,49.7,26.455000000000002,-1800,20250220,1036,40.7,20250220,1045,49.7,SSL,-16200.0
