strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
22000PE,22000PE,SELL,48.55,25.707499999999996,-1800,20250228,945,39.55,20250228,1235,48.55,SSL,-16200.0
22050PE,22050PE,SELL,50.7,27.105000000000004,-1800,20250228,1018,41.7,20250228,1058,50.7,SSL,-16200.0
