strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
23200CE,23200CE,SELL,50.0,26.65,-1800,20250213,948,41.0,20250213,953,50.0,SSL,-16200.0
23050PE,23050PE,SELL,45.0,23.4,-1800,20250213,946,36.0,20250213,1004,23.4,ST,22680.000000000004
23100PE,23100PE,SELL,49.45,26.292500000000004,-1800,20250213,953,40.45,20250213,1037,26.292500000000004,ST,25483.499999999996
23150PE,23150PE,SELL,49.1,26.065,-1800,20250213,1033,40.1,20250213,1100,26.065,ST,25263.0
