strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
23750CE,23750CE,SELL,49.05,26.0325,-1800,20250210,1009,40.05,20250210,1510,33.05,INTRA,12600.0
23050PE,23050PE,SELL,50.0,26.65,-1800,20250210,1011,41.0,20250210,1456,26.65,ST,25830.000000000004
23100PE,23100PE,SELL,50.85,27.2025,-1800,20250210,1041,41.85,20250210,1200,50.85,SSL,-16200.0
23150PE,23150PE,SELL,50.05,26.682499999999997,-1800,20250210,952,41.05,20250210,1009,50.05,SSL,-16200.0
