strategy,strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,exit_action,MTM
22850CE,22850CE,SELL,49.65,26.4225,-1800,20250224,956,40.65,20250224,1338,26.4225,ST,25609.5
22400PE,22400PE,SELL,50.85,27.2025,-1800,20250224,955,41.85,20250224,1023,50.85,SSL,-16200.0
