date,time,open,high,low,close,volume
20240913,1111,63.5,63.95,63,63.1,2850
20240913,1112,63.1,63.45,61.4,61.6,6900
20240913,1113,61.75,62.55,61.2,61.3,5950
20240913,1114,61.3,62,59.65,59.85,7050
20240913,1115,60.3,60.3,58.3,58.95,7250
20240913,1116,58.8,59.5,57.85,58,6450
20240913,1117,58,59,57.3,59,4350
20240913,1118,59.05,60.25,58.55,59.35,7000
20240913,1119,59.25,59.9,58.9,59.55,7250
20240913,1120,59.65,60.85,59.65,60.2,8450
20240913,1121,59.9,60.7,59.45,59.45,7900
20240913,1122,59.35,59.7,57.8,59.3,8550
20240913,1123,59.5,61,58.9,60.85,9100
20240913,1124,60.5,60.8,58.85,59.65,7900
20240913,1125,59.6,60.15,59,59,6850
20240913,1126,58.95,59.65,58.3,59.6,5800
20240913,1127,59.55,60.1,58.55,59.2,7500
20240913,1128,59.2,59.85,58.35,58.5,7450
20240913,1129,58.65,59.5,57.95,58.1,8950
20240913,1130,58,60.3,57.9,59.6,7000
20240913,1131,59.45,59.45,56.9,57.05,8350
20240913,1132,56.95,56.95,54.55,55.6,7800
20240913,1133,55.55,57,55.55,56,9150
20240913,1134,55.85,57.45,55.85,56.6,7350
20240913,1135,56.6,58,56,56.7,6850
20240913,1136,56.5,57.05,53.4,53.6,8050
20240913,1137,53.4,54.3,51.85,52.3,6550
20240913,1138,52.15,54.8,51.7,53.5,8350
20240913,1139,53.85,54.1,50.4,50.6,5850
20240913,1140,50.45,51.65,49.55,51.3,8050
20240913,1141,51.3,53.75,50.4,53.15,7600
20240913,1142,53.15,54.7,52.8,54.05,10000
20240913,1143,53.8,54,51.9,53.1,8600
20240913,1144,52.75,53.2,51.8,52.05,7950
20240913,1145,51.7,53.25,51.7,53.15,4850
20240913,1146,53.15,53.15,52.15,52.4,2350
20240913,1147,52.3,54.15,52.3,53.95,7700
20240913,1148,54.05,55.25,53.75,55,7100
20240913,1149,55.3,55.8,53.35,53.8,6750
20240913,1150,53.6,54.45,52.85,53.85,8650
20240913,1151,53.85,55.4,53.8,54.15,6800
20240913,1152,54.3,55.25,53.85,54.8,6500
20240913,1153,54.6,55.1,53.7,54.5,6850
20240913,1154,54.65,55,53.85,54.6,7600
20240913,1155,54.65,54.95,52.6,53.25,6600
20240913,1156,52.95,53.7,51.55,51.55,8050
20240913,1157,51.55,52.7,51.25,51.25,7700
20240913,1158,51,52.8,51,52.8,7750
20240913,1159,53.05,53.5,52.35,53.4,6900
20240913,1200,53.25,54.5,52.6,54.5,7400
20240913,1201,54.45,54.75,52.4,52.4,5950
20240913,1202,52.25,52.65,50.7,51.6,8950
20240913,1203,51.6,53,51,53,7650
20240913,1204,53,54,52.95,53.95,8200
20240913,1205,53.85,54.4,53.25,53.7,7250
20240913,1206,53.7,55.35,53.6,54.7,6650
20240913,1207,54.95,57.2,54.95,55.85,6550
20240913,1208,55.75,56.15,54.05,54.25,5750
20240913,1209,54.4,54.45,52.5,52.6,7400
20240913,1210,52.6,52.9,51.75,52.6,7700
20240913,1211,52.5,52.75,51.2,51.4,6950
20240913,1212,51.3,52.45,50.75,51,6550
