date,time,open,high,low,close,volume,vwap
20240912,910,0,0,0,111.0,750,111.0
20240912,915,0,0,0,30.7,14875,34.5544
20240912,916,0,0,0,32.6,25650,33.33985463355542
20240912,917,0,0,0,33.15,20775,33.27628928283642
20240912,918,0,0,0,33.7,19975,33.379472721731176
20240912,919,0,0,0,32.3,37850,33.03863399374348
20240912,920,0,0,0,29.45,21150,32.500434320156
20240912,921,0,0,0,22.8,25800,31.000232279334632
20240912,922,0,0,0,22.9,30075,29.762982478415438
20240912,923,0,0,0,23.5,28575,28.969259341390398
20240912,924,0,0,0,23.65,28675,28.369102891992917
20240912,925,0,0,0,23.2,31400,27.800691647697427
20240912,926,0,0,0,23.75,30750,27.40689219095795
20240912,927,0,0,0,24.450000000000003,28800,27.16012749927557
20240912,928,0,0,0,26.0,26625,27.077032752706973
20240912,929,0,0,0,24.8,26150,26.927376688658498
20240912,930,0,0,0,25.0,30625,26.789626604434073
20240912,931,0,0,0,36.949999999999996,32100,27.497720364741642
20240912,932,0,0,0,29.2,29850,27.601325313487614
20240912,933,0,0,0,33.55,25425,27.89450690574267
20240912,934,0,0,0,34.550000000000004,19175,28.133024950939166
20240912,935,0,0,0,35.15,21075,28.39894133513149
20240912,936,0,0,0,32.65,23000,28.567772501618823
20240912,937,0,0,0,35.2,23800,28.829574573951984
20240912,938,0,0,0,31.0,23125,28.90974562734606
20240912,939,0,0,0,36.25,28700,29.231494845360825
20240912,940,0,0,0,30.0,20525,29.254853578171854
20240912,941,0,0,0,27.4,19675,29.202340096409813
20240912,942,0,0,0,28.8,26400,29.18761523532266
20240912,943,0,0,0,25.1,22550,29.063706479365507
20240912,944,0,0,0,24.75,35850,28.86537832638666
20240912,945,0,0,0,27.0,33625,28.78826340863685
20240912,946,0,0,0,28.75,33750,28.786738970045743
20240912,947,0,0,0,29.1,15900,28.79251035601518
20240912,948,0,0,0,24.65,15850,28.717802588536482
20240912,949,0,0,0,27.0,30950,28.659367185997308
20240912,950,0,0,0,27.25,25300,28.62123646571314
20240912,951,0,0,0,28.2,27975,28.60900088256671
20240912,952,0,0,0,29.349999999999998,32975,28.633531611575435
20240912,953,0,0,0,31.849999999999998,36800,28.74813021904877
20240912,954,0,0,0,45.25,24550,29.13125044329385
20240912,955,0,0,0,42.2,22450,29.40294247019331
20240912,956,0,0,0,40.449999999999996,23800,29.64116474505629
20240912,957,0,0,0,40.05,31525,29.930222647991542
20240912,958,0,0,0,44.15,25575,30.24352264650772
20240912,959,0,0,0,48.6,36750,30.80685163148995
20240912,1000,0,0,0,46.45,28675,31.172670649160008
20240912,1001,0,0,0,39.0,25475,31.331978149279966
20240912,1002,0,0,0,41.15,21425,31.497205639776922
