strategy,Call_strike,Put_strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,entry_price_call,entry_price_put,entry_price_Index,Call_IV,Call_TV,Put_IV,Put_TV,exit_date,exit_time,exit_price,exit_action,exit_price_call,exit_price_put,exit_price_index,E_Call_IV,E_Call_TV,E_Put_IV,E_Put_TV,Call_IV_MTM,Call_TV_MTM,Put_IV_MTM,Put_TV_MTM,MTM
23100CE_23050PE,23100,23050,SELL,74.16,0,-150,20250130,1435,61.8,53.65,8.15,23143.9,43.900000000001455,9.749999999998543,0,8.15,20250130,1438,74.16,SSL,73.1,5.8,23161.55,61.54999999999927,11.550000000000722,0,5.8,-2647.4999999996726,-270.0000000003268,0,352.50000000000006,-1854.0
23100CE_23100PE,23100,23100,SELL,82.56,0,-75,20250130,1435,68.8,53.65,15.15,23143.9,43.900000000001455,9.749999999998543,0,15.15,20250130,1438,82.56,SSL,73.1,9.9,23161.55,61.54999999999927,11.550000000000722,0,9.9,-1323.7499999998363,-135.0000000001634,0,393.75,-1032.0000000000005
23150CE_23000PE,23150,23000,SELL,73.08,0,-150,20250130,1427,60.9,52.25,8.65,23165.05,15.049999999999272,37.20000000000073,0,8.65,20250130,1502,73.08,SSL,76.6,0.45,23230.25,80.25,-3.6500000000000057,0,0.45,-9780.00000000011,6127.50000000011,0,1230.0000000000002,-1827.0
23150CE_23050PE,23150,23050,SELL,79.08000000000001,0,-75,20250130,1427,65.9,52.25,13.65,23165.05,15.049999999999272,37.20000000000073,0,13.65,20250130,1507,79.08000000000001,SSL,86.2,0.35,23241.5,91.5,-5.299999999999997,0,0.35,-5733.750000000055,3187.5000000000546,0,997.5,-988.5000000000005
23150CE_23100PE,23150,23100,SELL,88.25999999999999,0,-75,20250130,1427,73.55,52.25,21.3,23165.05,15.049999999999272,37.20000000000073,0,21.3,20250130,1508,88.25999999999999,SSL,92.05,0.35,23247.35,97.34999999999854,-5.299999999998548,0,0.35,-6172.499999999945,3187.4999999999454,0,1571.25,-1103.2499999999995
23150CE_23150PE,23150,23150,SELL,94.91999999999999,0,-75,20250130,1429,79.1,46.1,33.0,23164.85,14.849999999998545,31.250000000001457,0,33.0,20250130,1515,87.60000000000001,INTRA,87.4,0.2,23246.5,96.5,-9.099999999999994,0,0.2,-6123.750000000109,3026.2500000001087,0,2460.0,-637.500000000001
23150CE_23200PE,23150,23200,SELL,91.86,0,-75,20250130,1455,76.55,25.75,50.8,23158.3,8.299999999999272,17.450000000000728,41.70000000000073,9.09999999999927,20250130,1508,91.86,SSL,92.05,0.8,23247.35,97.34999999999854,-5.299999999998548,0,0.8,-6678.749999999945,1706.2499999999457,3127.5000000000546,622.4999999999452,-1148.2500000000002
23200CE_22900PE,23200,22900,SELL,59.16,0,-150,20250130,1357,49.3,41.15,8.15,23176.9,0.0,41.15,0,8.15,20250130,1401,59.16,SSL,54.15,6.0,23191.05,0.0,54.15,0,6.0,0.0,-1950.0,0,322.50000000000006,-1479.0
23200CE_22900PE,23200,22900,SELL,71.75999999999999,0,-150,20250130,1407,59.8,49.8,10.0,23166.9,0.0,49.8,0,10.0,20250130,1515,37.800000000000004,INTRA,37.7,0.1,23246.5,46.5,-8.799999999999997,0,0.1,-6975.0,8790.0,0,1485.0,3299.999999999999
23200CE_22950PE,23200,22950,SELL,59.4,0,-150,20250130,1356,49.5,40.65,8.85,23186.6,0.0,40.65,0,8.85,20250130,1400,59.4,SSL,52.05,8.2,23195.0,0.0,52.05,0,8.2,0.0,-1709.9999999999998,0,97.50000000000006,-1484.9999999999998
23200CE_22950PE,23200,22950,SELL,75.84,0,-150,20250130,1401,63.2,54.15,9.05,23191.05,0.0,54.15,0,9.05,20250130,1515,37.800000000000004,INTRA,37.7,0.1,23246.5,46.5,-8.799999999999997,0,0.1,-6975.0,9442.5,0,1342.5000000000002,3810.0
23200CE_23000PE,23200,23000,SELL,48.36000000000001,0,-150,20250130,1353,40.300000000000004,33.2,7.1,23192.2,0.0,33.2,0,7.1,20250130,1356,48.36000000000001,SSL,40.65,12.95,23186.6,0.0,40.65,0,12.95,0.0,-1117.4999999999993,0,-877.5,-1209.0000000000005
23200CE_23000PE,23200,23000,SELL,70.8,0,-150,20250130,1357,59.0,41.15,17.85,23176.9,0.0,41.15,0,17.85,20250130,1402,70.8,SSL,55.2,16.25,23188.65,0.0,55.2,0,16.25,0.0,-2107.5000000000005,0,240.00000000000023,-1769.9999999999995
23200CE_23050PE,23200,23050,SELL,72.24000000000001,0,-150,20250130,1345,60.2,52.7,7.5,23223.4,23.400000000001455,29.299999999998548,0,7.5,20250130,1401,72.24000000000001,SSL,54.15,20.1,23191.05,0.0,54.15,0,20.1,3510.0000000002183,-3727.500000000218,0,-1890.0000000000002,-1806.000000000001
23200CE_23050PE,23200,23050,SELL,94.68,0,-75,20250130,1409,78.9,50.4,28.5,23169.45,0.0,50.4,0,28.5,20250130,1515,37.85,INTRA,37.7,0.15,23246.5,46.5,-8.799999999999997,0,0.15,-3487.5,4440.0,0,2126.25,3078.7500000000005
23200CE_23100PE,23200,23100,SELL,74.4,0,-150,20250130,1344,62.0,52.75,9.25,23224.5,24.5,28.25,0,9.25,20250130,1357,74.4,SSL,41.15,33.7,23176.9,0.0,41.15,0,33.7,3675.0,-1934.9999999999998,0,-3667.5000000000005,-1860.000000000001
23200CE_23100PE,23200,23100,SELL,93.36000000000001,0,-75,20250130,1358,77.80000000000001,48.95,28.85,23189.25,0.0,48.95,0,28.85,20250130,1405,93.36000000000001,SSL,60.95,35.25,23190.2,0.0,60.95,0,35.25,0.0,-900.0,0,-479.9999999999999,-1167.0000000000002
23200CE_23150PE,23200,23150,SELL,79.74000000000001,0,-75,20250130,1344,66.45,52.75,13.7,23224.5,24.5,28.25,0,13.7,20250130,1357,79.74000000000001,SSL,41.15,49.65,23176.9,0.0,41.15,0,49.65,1837.5,-967.4999999999999,0,-2696.25,-996.7500000000005
23200CE_23150PE,23200,23150,SELL,96.0,0,-75,20250130,1422,80.0,40.9,39.1,23178.5,0.0,40.9,0,39.1,20250130,1515,37.900000000000006,INTRA,37.7,0.2,23246.5,46.5,-8.799999999999997,0,0.2,-3487.5,3727.4999999999995,0,2917.5,3157.4999999999995
23200CE_23200PE,23200,23200,SELL,93.9,0,-75,20250130,1344,78.25,52.75,25.5,23224.5,24.5,28.25,0.0,25.5,20250130,1356,93.9,SSL,40.65,56.95,23186.6,0.0,40.65,13.400000000001455,43.54999999999855,1837.5,-929.9999999999999,-1005.0000000001091,-1353.749999999891,-1173.7500000000005
23200CE_23200PE,23200,23200,SELL,80.4,0,-75,20250130,1438,67.0,14.4,52.6,23161.55,0.0,14.4,38.45000000000073,14.149999999999274,20250130,1450,80.4,SSL,16.85,65.05,23163.0,0.0,16.85,37.0,28.049999999999997,0.0,-183.75000000000009,108.75000000005457,-1042.5000000000543,-1005.0000000000005
23200CE_23250PE,23200,23250,SELL,72.42,0,-150,20250130,1500,60.35,16.35,44.0,23207.0,7.0,9.350000000000001,43.0,1.0,20250130,1515,51.25,INTRA,37.7,13.55,23246.5,46.5,-8.799999999999997,3.5,10.05,-5925.0,2722.5,5925.0,-1357.5,1365.0000000000002
23250CE_22900PE,23250,22900,SELL,38.4,0,-225,20250130,1357,32.0,23.85,8.15,23176.9,0.0,23.85,0,8.15,20250130,1401,38.4,SSL,33.1,6.0,23191.05,0.0,33.1,0,6.0,0.0,-2081.25,0,483.75000000000006,-1439.9999999999998
23250CE_22900PE,23250,22900,SELL,50.1,0,-150,20250130,1402,41.75,34.55,7.2,23188.65,0.0,34.55,0,7.2,20250130,1515,0.7999999999999999,INTRA,0.7,0.1,23246.5,0.0,0.7,0,0.1,0.0,5077.499999999999,0,1065.0,6142.5
23250CE_22950PE,23250,22950,SELL,53.58,0,-150,20250130,1327,44.65,37.6,7.05,23223.35,0.0,37.6,0,7.05,20250130,1515,0.7999999999999999,INTRA,0.7,0.1,23246.5,0.0,0.7,0,0.1,0.0,5535.0,0,1042.5,6577.5
23250CE_23000PE,23250,23000,SELL,58.2,0,-150,20250130,1326,48.5,39.9,8.6,23231.85,0.0,39.9,0,8.6,20250130,1515,0.8999999999999999,INTRA,0.7,0.2,23246.5,0.0,0.7,0,0.2,0.0,5879.999999999999,0,1260.0,7140.0
