strategy,Call_strike,Put_strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,entry_price_call,entry_price_put,entry_price_Index,Call_IV,Call_TV,Put_IV,Put_TV,exit_date,exit_time,exit_price,exit_action,exit_price_call,exit_price_put,exit_price_index,E_Call_IV,E_Call_TV,E_Put_IV,E_Put_TV,Call_IV_MTM,Call_TV_MTM,Put_IV_MTM,Put_TV_MTM,MTM
24200CE_24000PE,24200,24000,SELL,91.98,0,-75,20241128,1126,76.65,24.1,52.55,24059.05,0,24.1,0,52.55,20241128,1130,91.98,SSL,29.35,62.9,24054.3,0,29.35,0,62.9,0,-393.75,0,-776.2500000000001,-1149.7499999999998
24200CE_24000PE,24200,24000,SELL,91.5,0,-75,20241128,1221,76.25,30.5,45.75,24078.05,0,30.5,0,45.75,20241128,1237,91.5,SSL,16.65,79.55,24012.7,0,16.65,0,79.55,0,1038.75,0,-2535.0,-1143.75
24200CE_24050PE,24200,24050,SELL,92.16000000000001,0,-75,20241128,1228,76.80000000000001,26.35,50.45,24092.0,0,26.35,0,50.45,20241128,1233,92.16000000000001,SSL,20.25,73.1,24054.95,0,20.25,0.0,73.1,0,457.5000000000001,0.0,-1698.7499999999993,-1152.0
24200CE_24050PE,24200,24050,SELL,73.5,0,-150,20241128,1406,61.25,14.5,46.75,24060.05,0,14.5,0,46.75,20241128,1410,73.5,SSL,9.6,70.45,24019.1,0,9.6,30.900000000001455,39.54999999999855,0,735.0,-4635.000000000218,1080.0000000002178,-1837.5
24250CE_24000PE,24250,24000,SELL,94.38000000000001,0,-75,20241128,1041,78.65,31.4,47.25,24100.4,0,31.4,0,47.25,20241128,1048,94.38000000000001,SSL,36.65,66.1,24076.45,0,36.65,0,66.1,0,-393.75,0,-1413.7499999999995,-1179.7500000000002
24250CE_24000PE,24250,24000,SELL,90.0,0,-75,20241128,1059,75.0,35.95,39.05,24113.95,0,35.95,0,39.05,20241128,1133,90.0,SSL,21.9,68.65,24048.6,0,21.9,0,68.65,0,1053.7500000000002,0,-2220.0000000000005,-1125.0
24250CE_24050PE,24250,24050,SELL,84.9,0,-75,20241128,1227,70.75,17.85,52.9,24088.8,0,17.85,0,52.9,20241128,1233,84.9,SSL,13.2,73.1,24054.95,0,13.2,0.0,73.1,0,348.75000000000017,0.0,-1514.9999999999998,-1061.2500000000005
24250CE_24050PE,24250,24050,SELL,66.42,0,-150,20241128,1406,55.35,8.6,46.75,24060.05,0,8.6,0,46.75,20241128,1410,66.42,SSL,5.4,70.45,24019.1,0,5.4,30.900000000001455,39.54999999999855,0,479.9999999999999,-4635.000000000218,1080.0000000002178,-1660.5
24300CE_24000PE,24300,24000,SELL,74.46000000000001,0,-150,20241128,933,62.050000000000004,54.7,7.35,24268.75,0,54.7,0,7.35,20241128,951,74.46000000000001,SSL,86.4,6.35,24316.55,16.549999999999272,69.85000000000073,0,6.35,-2482.499999999891,-2272.5000000001096,0,150.0,-1861.5000000000005
24300CE_24000PE,24300,24000,SELL,65.58000000000001,0,-150,20241128,1033,54.650000000000006,39.2,15.45,24215.55,0,39.2,0,15.45,20241128,1035,65.58000000000001,SSL,42.95,23.25,24202.3,0.0,42.95,0,23.25,0.0,-562.5,0,-1170.0,-1639.500000000001
