strategy,Call_strike,Put_strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,entry_price_call,entry_price_put,entry_price_Index,Call_IV,Call_TV,Put_IV,Put_TV,exit_date,exit_time,exit_price,exit_action,exit_price_call,exit_price_put,exit_price_index,E_Call_IV,E_Call_TV,E_Put_IV,E_Put_TV,Call_IV_MTM,Call_TV_MTM,Put_IV_MTM,Put_TV_MTM,MTM
23100CE_22900PE,23100,22900,SELL,73.74,0,-150,20250123,929,61.449999999999996,54.4,7.05,23107.15,7.150000000001455,47.24999999999854,0,7.05,20250123,935,73.74,SSL,93.15,5.8,23152.55,52.54999999999927,40.60000000000073,0,5.8,-6809.999999999673,997.4999999996716,0,187.5,-1843.4999999999998
23100CE_22950PE,23100,22950,SELL,77.75999999999999,0,-150,20250123,929,64.8,54.4,10.4,23107.15,7.150000000001455,47.24999999999854,0,10.4,20250123,935,77.75999999999999,SSL,93.15,8.25,23152.55,52.54999999999927,40.60000000000073,0,8.25,-6809.999999999673,997.4999999996716,0,322.50000000000006,-1943.999999999999
23100CE_23000PE,23100,23000,SELL,83.52,0,-75,20250123,929,69.6,54.4,15.2,23107.15,7.150000000001455,47.24999999999854,0,15.2,20250123,935,83.52,SSL,93.15,12.2,23152.55,52.54999999999927,40.60000000000073,0,12.2,-3404.9999999998363,498.7499999998358,0,225.0,-1044.0000000000002
23100CE_23050PE,23100,23050,SELL,91.44,0,-75,20250123,929,76.2,54.4,21.8,23107.15,7.150000000001455,47.24999999999854,0,21.8,20250123,935,91.44,SSL,93.15,17.75,23152.55,52.54999999999927,40.60000000000073,0,17.75,-3404.9999999998363,498.7499999998358,0,303.75000000000006,-1142.9999999999995
23150CE_22900PE,23150,22900,SELL,50.94,0,-150,20250123,928,42.449999999999996,35.05,7.4,23110.0,0.0,35.05,0,7.4,20250123,935,50.94,SSL,60.9,5.8,23152.55,2.5499999999992724,58.350000000000726,0,5.8,-382.49999999989086,-3495.000000000109,0,240.00000000000009,-1273.5000000000002
23150CE_22950PE,23150,22950,SELL,52.44,0,-150,20250123,926,43.699999999999996,33.8,9.9,23113.0,0.0,33.8,0,9.9,20250123,935,52.44,SSL,60.9,8.25,23152.55,2.5499999999992724,58.350000000000726,0,8.25,-382.49999999989086,-3682.500000000109,0,247.50000000000006,-1311.0000000000002
23150CE_23000PE,23150,23000,SELL,57.9,0,-150,20250123,926,48.25,33.8,14.45,23113.0,0.0,33.8,0,14.45,20250123,935,57.9,SSL,60.9,12.2,23152.55,2.5499999999992724,58.350000000000726,0,12.2,-382.49999999989086,-3682.500000000109,0,337.5,-1447.4999999999998
23150CE_23050PE,23150,23050,SELL,65.34,0,-150,20250123,926,54.449999999999996,33.8,20.65,23113.0,0.0,33.8,0,20.65,20250123,935,65.34,SSL,60.9,17.75,23152.55,2.5499999999992724,58.350000000000726,0,17.75,-382.49999999989086,-3682.500000000109,0,434.9999999999998,-1633.5000000000011
23150CE_23100PE,23150,23100,SELL,84.83999999999999,0,-75,20250123,925,70.69999999999999,36.8,33.9,23121.6,0.0,36.8,0,33.9,20250123,935,84.83999999999999,SSL,60.9,26.8,23152.55,2.5499999999992724,58.350000000000726,0,26.8,-191.24999999994543,-1616.2500000000546,0,532.4999999999999,-1060.5
23200CE_22900PE,23200,22900,SELL,36.839999999999996,0,-225,20250123,925,30.7,23.65,7.05,23121.6,0.0,23.65,0,7.05,20250123,935,36.839999999999996,SSL,39.35,5.8,23152.55,0.0,39.35,0,5.8,0.0,-3532.5000000000005,0,281.25,-1381.4999999999993
23200CE_22950PE,23200,22950,SELL,41.1,0,-150,20250123,925,34.25,23.65,10.6,23121.6,0.0,23.65,0,10.6,20250123,935,41.1,SSL,39.35,8.25,23152.55,0.0,39.35,0,8.25,0.0,-2355.0000000000005,0,352.49999999999994,-1027.5000000000002
23200CE_23000PE,23200,23000,SELL,46.98,0,-150,20250123,925,39.15,23.65,15.5,23121.6,0.0,23.65,0,15.5,20250123,935,46.98,SSL,39.35,12.2,23152.55,0.0,39.35,0,12.2,0.0,-2355.0000000000005,0,495.0000000000001,-1174.4999999999998
23200CE_23050PE,23200,23050,SELL,54.84,0,-150,20250123,925,45.7,23.65,22.05,23121.6,0.0,23.65,0,22.05,20250123,935,54.84,SSL,39.35,17.75,23152.55,0.0,39.35,0,17.75,0.0,-2355.0000000000005,0,645.0000000000001,-1371.0
23200CE_23050PE,23200,23050,SELL,64.92,0,-150,20250123,958,54.1,45.0,9.1,23203.3,3.2999999999992724,41.70000000000073,0,9.1,20250123,1028,64.92,SSL,59.2,6.45,23236.4,36.400000000001455,22.799999999998548,0,6.45,-4965.000000000327,2835.000000000327,0,397.49999999999994,-1623.0
23200CE_23100PE,23200,23100,SELL,72.72,0,-150,20250123,924,60.6,24.6,36.0,23119.05,0.0,24.6,0,36.0,20250123,938,72.72,SSL,48.6,24.8,23171.35,0.0,48.6,0,24.8,0.0,-3600.0,0,1680.0,-1817.9999999999995
23200CE_23100PE,23200,23100,SELL,76.5,0,-150,20250123,956,63.75,51.45,12.3,23213.95,13.950000000000728,37.499999999999275,0,12.3,20250123,1219,72.0,Vwap_thershold,68.6,3.4,23252.95,52.95000000000073,15.649999999999267,0,3.4,-5850.0,3277.5000000000014,0,1335.0,-1237.5
23200CE_23150PE,23200,23150,SELL,93.0,0,-75,20250123,950,77.5,51.25,26.25,23198.05,0.0,51.25,0,26.25,20250123,1515,7.1499999999999995,INTRA,7.05,0.1,23204.8,4.799999999999272,2.2500000000007274,0,0.1,-359.99999999994543,3674.9999999999454,0,1961.25,5276.25
23200CE_23200PE,23200,23200,SELL,94.56,0,-75,20250123,1000,78.8,37.05,41.75,23191.15,0.0,37.05,8.849999999998545,32.900000000001455,20250123,1515,7.2,INTRA,7.05,0.15,23204.8,4.799999999999272,2.2500000000007274,0,0.15,-359.99999999994543,2609.9999999999454,663.7499999998909,2456.250000000109,5370.0
23250CE_22900PE,23250,22900,SELL,28.08,0,-225,20250123,924,23.4,16.2,7.2,23119.05,0.0,16.2,0,7.2,20250123,935,28.08,SSL,25.05,5.8,23152.55,0.0,25.05,0,5.8,0.0,-1991.2500000000002,0,315.00000000000006,-1053.0
23250CE_22950PE,23250,22950,SELL,32.4,0,-225,20250123,924,27.0,16.2,10.8,23119.05,0.0,16.2,0,10.8,20250123,935,32.4,SSL,25.05,8.25,23152.55,0.0,25.05,0,8.25,0.0,-1991.2500000000002,0,573.7500000000001,-1214.9999999999998
23250CE_23000PE,23250,23000,SELL,37.32,0,-225,20250123,925,31.1,15.6,15.5,23121.6,0.0,15.6,0,15.5,20250123,937,37.32,SSL,30.1,11.05,23172.75,0.0,30.1,0,11.05,0.0,-3262.5000000000005,0,1001.2499999999999,-1399.4999999999998
23250CE_23050PE,23250,23050,SELL,46.74,0,-150,20250123,924,38.95,16.2,22.75,23119.05,0.0,16.2,0,22.75,20250123,938,46.74,SSL,30.8,16.3,23171.35,0.0,30.8,0,16.3,0.0,-2190.0,0,967.4999999999999,-1168.4999999999998
23250CE_23050PE,23250,23050,SELL,49.2,0,-150,20250123,950,41.0,30.5,10.5,23198.05,0.0,30.5,0,10.5,20250123,1220,34.25,Vwap_thershold,31.7,2.55,23255.85,5.849999999998545,25.850000000001454,0,2.55,-877.4999999997817,697.4999999997818,0,1192.5,1012.5
23250CE_23100PE,23250,23100,SELL,63.78,0,-150,20250123,923,53.15,17.6,35.55,23126.0,0.0,17.6,0,35.55,20250123,1515,0.15000000000000002,INTRA,0.1,0.05,23204.8,0.0,0.1,0,0.05,0.0,2625.0,0,5325.0,7950.0
23250CE_23150PE,23250,23150,SELL,84.06,0,-75,20250123,935,70.05,25.05,45.0,23152.55,0.0,25.05,0,45.0,20250123,1515,0.2,INTRA,0.1,0.1,23204.8,0.0,0.1,0,0.1,0.0,1871.25,0,3367.5,5238.75
23250CE_23200PE,23250,23200,SELL,94.38000000000001,0,-75,20250123,946,78.65,31.45,47.2,23189.8,0.0,31.45,10.200000000000728,36.999999999999275,20250123,1515,0.25,INTRA,0.1,0.15,23204.8,0.0,0.1,0,0.15,0.0,2351.25,765.0000000000546,2763.749999999946,5880.0
23300CE_22900PE,23300,22900,SELL,21.84,0,-300,20250123,922,18.2,10.75,7.45,23110.65,0.0,10.75,0,7.45,20250123,937,21.84,SSL,18.55,5.4,23172.75,0.0,18.55,0,5.4,0.0,-2340.0,0,615.0,-1092.0000000000002
23300CE_22950PE,23300,22950,SELL,26.04,0,-300,20250123,922,21.7,10.75,10.95,23110.65,0.0,10.75,0,10.95,20250123,937,26.04,SSL,18.55,7.65,23172.75,0.0,18.55,0,7.65,0.0,-2340.0,0,989.9999999999997,-1302.0
23300CE_23000PE,23300,23000,SELL,32.22,0,-225,20250123,922,26.85,10.75,16.1,23110.65,0.0,10.75,0,16.1,20250123,940,32.22,SSL,22.55,10.35,23185.4,0.0,22.55,0,10.35,0.0,-2655.0,0,1293.7500000000005,-1208.2499999999993
23300CE_23000PE,23300,23000,SELL,33.24,0,-225,20250123,946,27.7,19.2,8.5,23189.8,0.0,19.2,0,8.5,20250123,1515,0.2,INTRA,0.15,0.05,23204.8,0.0,0.15,0,0.05,0.0,4286.25,0,1901.2499999999998,6187.5
23300CE_23050PE,23300,23050,SELL,40.68,0,-150,20250123,922,33.9,10.75,23.15,23110.65,0.0,10.75,0,23.15,20250123,1515,0.3,INTRA,0.15,0.15,23204.8,0.0,0.15,0,0.15,0.0,1590.0,0,3450.0,5040.0
23300CE_23100PE,23300,23100,SELL,57.9,0,-150,20250123,922,48.25,10.75,37.5,23110.65,0.0,10.75,0,37.5,20250123,1515,0.2,INTRA,0.15,0.05,23204.8,0.0,0.15,0,0.05,0.0,1590.0,0,5617.5,7207.5
23300CE_23150PE,23300,23150,SELL,72.9,0,-150,20250123,935,60.75,15.75,45.0,23152.55,0.0,15.75,0,45.0,20250123,1515,0.25,INTRA,0.15,0.1,23204.8,0.0,0.15,0,0.1,0.0,2340.0,0,6735.0,9075.0
23300CE_23200PE,23300,23200,SELL,85.38000000000001,0,-75,20250123,944,71.15,22.15,49.0,23197.95,0.0,22.15,2.0499999999992724,46.95000000000073,20250123,1515,0.3,INTRA,0.15,0.15,23204.8,0.0,0.15,0,0.15,0.0,1650.0,153.74999999994543,3510.0000000000546,5313.750000000001
23350CE_22900PE,23350,22900,SELL,17.82,0,-375,20250123,922,14.850000000000001,7.4,7.45,23110.65,0.0,7.4,0,7.45,20250123,940,17.82,SSL,14.3,5.05,23185.4,0.0,14.3,0,5.05,0.0,-2587.5,0,900.0000000000001,-1113.7499999999995
