strategy,Call_strike,Put_strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,entry_price_call,entry_price_put,entry_price_Index,Call_IV,Call_TV,Put_IV,Put_TV,exit_date,exit_time,exit_price,exit_action,exit_price_call,exit_price_put,exit_price_index,E_Call_IV,E_Call_TV,E_Put_IV,E_Put_TV,Call_IV_MTM,Call_TV_MTM,Put_IV_MTM,Put_TV_MTM,MTM
23700CE_23500PE,23700,23500,SELL,52.8,0,-150,20241226,1334,44.0,34.9,9.1,23692.5,0,34.9,0,9.1,20241226,1343,52.8,SSL,66.25,2.05,23760.55,60.54999999999927,5.700000000000728,0,2.05,-9082.49999999989,4379.999999999891,0,1057.5,-1319.9999999999995
23700CE_23550PE,23700,23550,SELL,63.239999999999995,0,-150,20241226,1049,52.699999999999996,45.55,7.15,23713.1,13.099999999998545,32.45000000000145,0,7.15,20241226,1101,63.239999999999995,SSL,58.65,5.8,23741.3,41.29999999999927,17.350000000000726,0,5.8,-4230.000000000109,2265.000000000109,0,202.50000000000009,-1580.9999999999998
23700CE_23550PE,23700,23550,SELL,58.86,0,-150,20241226,1334,49.05,34.9,14.15,23692.5,0.0,34.9,0,14.15,20241226,1343,58.86,SSL,66.25,3.25,23760.55,60.54999999999927,5.700000000000728,0,3.25,-9082.49999999989,4379.999999999891,0,1635.0,-1471.5000000000005
23700CE_23600PE,23700,23600,SELL,75.9,0,-150,20241226,1046,63.25,53.1,10.15,23728.55,28.549999999999272,24.55000000000073,0,10.15,20241226,1113,75.9,SSL,76.5,5.55,23760.3,60.29999999999927,16.200000000000728,0,5.55,-4762.5,1252.5000000000002,0,690.0000000000001,-1897.500000000001
23700CE_23600PE,23700,23600,SELL,70.8,0,-150,20241226,1334,59.0,34.9,24.1,23692.5,0.0,34.9,0,24.1,20241226,1343,70.8,SSL,66.25,5.05,23760.55,60.54999999999927,5.700000000000728,0,5.05,-9082.49999999989,4379.999999999891,0,2857.5,-1769.9999999999995
23700CE_23650PE,23700,23650,SELL,84.48,0,-75,20241226,1046,70.4,53.1,17.3,23728.55,28.549999999999272,24.55000000000073,0,17.3,20241226,1113,84.48,SSL,76.5,8.55,23760.3,60.29999999999927,16.200000000000728,0,8.55,-2381.25,626.2500000000001,0,656.25,-1055.9999999999998
23700CE_23650PE,23700,23650,SELL,77.88000000000001,0,-150,20241226,1212,64.9,54.9,10.0,23736.85,36.849999999998545,18.050000000001454,0,10.0,20241226,1515,50.9,INTRA,50.8,0.1,23754.75,54.75,-3.950000000000003,0,0.1,-2685.0000000002183,3300.0000000002183,0,1485.0,2100.000000000001
23700CE_23700PE,23700,23700,SELL,93.78,0,-75,20241226,1048,78.15,43.85,34.3,23713.4,13.400000000001455,30.449999999998546,0,34.3,20241226,1515,50.9,INTRA,50.8,0.1,23754.75,54.75,-3.950000000000003,0,0.1,-3101.249999999891,2579.9999999998913,0,2564.9999999999995,2043.7500000000005
23700CE_23750PE,23700,23750,SELL,95.4,0,-75,20241226,1226,79.5,50.1,29.4,23740.05,40.04999999999927,10.050000000000729,9.950000000000728,19.44999999999927,20241226,1334,95.4,SSL,34.9,84.4,23692.5,0.0,34.9,57.5,26.900000000000006,3003.7499999999454,-1863.7499999999452,-3566.2499999999454,-558.7500000000551,-1192.5000000000005
23700CE_23750PE,23700,23750,SELL,90.18,0,-75,20241226,1349,75.15,50.35,24.8,23747.5,47.5,2.8500000000000014,2.5,22.3,20241226,1515,51.3,INTRA,50.8,0.5,23754.75,54.75,-3.950000000000003,0.0,0.5,-543.75,510.00000000000034,187.5,1635.0,1788.7500000000007
23750CE_23500PE,23750,23500,SELL,27.18,0,-225,20241226,1334,22.65,13.55,9.1,23692.5,0,13.55,0,9.1,20241226,1343,27.18,SSL,32.1,2.05,23760.55,10.549999999999272,21.55000000000073,0,2.05,-2373.7499999998363,-1800.000000000164,0,1586.25,-1019.2500000000002
23750CE_23550PE,23750,23550,SELL,70.56,0,-150,20241226,1006,58.8,50.75,8.05,23758.7,8.700000000000728,42.04999999999927,0,8.05,20241226,1515,1.5,INTRA,1.45,0.05,23754.75,4.75,-3.3,0,0.05,592.5000000001091,6802.499999999891,0,1200.0,8595.0
23750CE_23600PE,23750,23600,SELL,75.66,0,-150,20241226,1006,63.05,50.75,12.3,23758.7,8.700000000000728,42.04999999999927,0,12.3,20241226,1515,1.55,INTRA,1.45,0.1,23754.75,4.75,-3.3,0,0.1,592.5000000001091,6802.499999999891,0,1830.0000000000002,9225.0
23750CE_23650PE,23750,23650,SELL,83.58000000000001,0,-75,20241226,1006,69.65,50.75,18.9,23758.7,8.700000000000728,42.04999999999927,0,18.9,20241226,1515,1.55,INTRA,1.45,0.1,23754.75,4.75,-3.3,0,0.1,296.25000000005457,3401.2499999999454,0,1409.9999999999998,5107.500000000001
23750CE_23700PE,23750,23700,SELL,95.28,0,-75,20241226,1006,79.4,50.75,28.65,23758.7,8.700000000000728,42.04999999999927,0,28.65,20241226,1334,70.4,Vwap_thershold,13.55,56.85,23692.5,0.0,13.55,7.5,49.35,652.5000000000546,2137.4999999999454,-562.5,-1552.5000000000002,675.0
23750CE_23700PE,23750,23700,SELL,46.559999999999995,0,-150,20241226,1336,38.8,18.35,20.45,23736.65,0.0,18.35,0,20.45,20241226,1338,46.559999999999995,SSL,14.7,44.35,23702.9,0.0,14.7,0.0,44.35,0.0,547.5000000000003,0.0,-3585.0000000000005,-1163.9999999999998
23750CE_23750PE,23750,23750,SELL,94.61999999999999,0,-75,20241226,1039,78.85,28.65,50.2,23741.5,0,28.65,8.5,41.7,20241226,1334,94.61999999999999,SSL,13.55,84.4,23692.5,0.0,13.55,57.5,26.900000000000006,0.0,1132.4999999999998,-3675.0,1109.9999999999998,-1182.7499999999998
23750CE_23750PE,23750,23750,SELL,67.44,0,-150,20241226,1336,56.2,18.35,37.85,23736.65,0,18.35,13.349999999998545,24.500000000001457,20241226,1337,67.44,SSL,12.55,59.25,23710.65,0.0,12.55,39.349999999998545,19.900000000001455,0.0,870.0000000000001,-3900.0,690.0000000000002,-1685.9999999999993
23750CE_23800PE,23750,23800,SELL,84.24000000000001,0,-75,20241226,1317,70.2,16.35,53.85,23751.25,1.25,15.100000000000001,48.75,5.100000000000001,20241226,1334,142.8,ES,13.55,129.25,23692.5,0.0,13.55,107.5,21.75,93.75,116.25000000000006,-4406.25,-1248.75,-5445.000000000001
23750CE_23800PE,23750,23800,SELL,79.74000000000001,0,-75,20241226,1409,66.45,12.6,53.85,23752.8,2.7999999999992724,9.800000000000727,47.20000000000073,6.649999999999274,20241226,1515,50.650000000000006,INTRA,1.45,49.2,23754.75,4.75,-3.3,45.25,3.950000000000003,-146.25000000005457,982.5000000000545,146.25000000005457,202.49999999994532,1184.9999999999998
23800CE_23500PE,23800,23500,SELL,20.88,0,-300,20241226,1334,17.4,8.3,9.1,23692.5,0,8.3,0,9.1,20241226,1515,0.15000000000000002,INTRA,0.1,0.05,23754.75,0.0,0.1,0,0.05,0.0,2460.0000000000005,0,2714.9999999999995,5175.0
23800CE_23550PE,23800,23550,SELL,45.959999999999994,0,-150,20241226,1001,38.3,30.9,7.4,23768.8,0,30.9,0,7.4,20241226,1515,0.15000000000000002,INTRA,0.1,0.05,23754.75,0.0,0.1,0,0.05,0.0,4620.0,0,1102.5,5722.5
23800CE_23600PE,23800,23600,SELL,73.32,0,-150,20241226,941,61.099999999999994,52.15,8.95,23809.9,9.900000000001455,42.24999999999854,0,8.95,20241226,1515,0.2,INTRA,0.1,0.1,23754.75,0.0,0.1,0,0.1,1485.0000000002183,6322.499999999782,0,1327.5,9134.999999999998
