strategy,Call_strike,Put_strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,entry_price_call,entry_price_put,entry_price_Index,Call_IV,Call_TV,Put_IV,Put_TV,exit_date,exit_time,exit_price,exit_action,exit_price_call,exit_price_put,exit_price_index,E_Call_IV,E_Call_TV,E_Put_IV,E_Put_TV,Call_IV_MTM,Call_TV_MTM,Put_IV_MTM,Put_TV_MTM,MTM
22850CE_22600PE,22850,22600,SELL,72.18,0,-150,20250220,946,60.15,51.8,8.35,22823.9,0,51.8,0,8.35,20250220,959,72.18,SSL,77.4,4.0,22883.05,33.04999999999927,44.35000000000073,0,4.0,-4957.499999999891,1117.4999999998895,0,652.5,-1804.5000000000011
22850CE_22650PE,22850,22650,SELL,77.57999999999998,0,-150,20250220,946,64.64999999999999,51.8,12.85,22823.9,0,51.8,0,12.85,20250220,959,77.57999999999998,SSL,77.4,5.8,22883.05,33.04999999999927,44.35000000000073,0,5.8,-4957.499999999891,1117.4999999998895,0,1057.5,-1939.4999999999989
22850CE_22700PE,22850,22700,SELL,86.03999999999999,0,-75,20250220,946,71.69999999999999,51.8,19.9,22823.9,0,51.8,0,19.9,20250220,1020,86.03999999999999,SSL,80.55,6.2,22890.7,40.70000000000073,39.84999999999927,0,6.2,-3052.5000000000546,896.2500000000546,0,1027.5,-1075.5000000000002
22850CE_22750PE,22850,22750,SELL,91.38000000000001,0,-75,20250220,947,76.15,48.6,27.55,22825.75,0,48.6,0,27.55,20250220,1021,91.38000000000001,SSL,82.35,10.45,22891.7,41.70000000000073,40.64999999999927,0,10.45,-3127.5000000000546,596.2500000000551,0,1282.5,-1142.2500000000002
22850CE_22800PE,22850,22800,SELL,64.98,0,-150,20250220,1301,54.15,44.15,10.0,22872.35,22.349999999998545,21.800000000001454,0,10.0,20250220,1342,64.98,SSL,63.85,3.35,22905.75,55.75,8.100000000000001,0,3.35,-5010.000000000218,2055.000000000218,0,997.5,-1624.500000000001
22850CE_22850PE,22850,22850,SELL,75.17999999999999,0,-150,20250220,1301,62.65,44.15,18.5,22872.35,22.349999999998545,21.800000000001454,0,18.5,20250220,1349,75.17999999999999,SSL,73.2,6.05,22910.7,60.70000000000073,12.499999999999275,0,6.05,-5752.500000000327,1395.0000000003267,0,1867.5,-1879.499999999999
22850CE_22900PE,22850,22900,SELL,95.82,0,-75,20250220,1307,79.85,51.55,28.3,22885.15,35.150000000001455,16.399999999998542,14.849999999998545,13.450000000001456,20250220,1515,64.3,INTRA,64.1,0.2,22915.55,65.54999999999927,-1.449999999999278,0,0.2,-2279.9999999998363,1338.7499999998365,1113.7499999998909,993.7500000001093,1166.2499999999998
22900CE_22600PE,22900,22600,SELL,68.22,0,-150,20250220,921,56.85,49.0,7.85,22843.45,0,49.0,0,7.85,20250220,1022,63.9,Vwap_thershold,60.85,3.05,22904.75,4.75,56.1,0,3.05,-712.5,-1065.0000000000002,0,720.0,-1057.4999999999995
22900CE_22650PE,22900,22650,SELL,73.44,0,-150,20250220,921,61.2,49.0,12.2,22843.45,0,49.0,0,12.2,20250220,1515,14.4,INTRA,14.3,0.1,22915.55,15.549999999999272,-1.2499999999992717,0,0.1,-2332.499999999891,7537.499999999891,0,1815.0,7020.000000000001
22900CE_22700PE,22900,22700,SELL,81.36,0,-75,20250220,921,67.8,49.0,18.8,22843.45,0,49.0,0,18.8,20250220,1515,14.350000000000001,INTRA,14.3,0.05,22915.55,15.549999999999272,-1.2499999999992717,0,0.05,-1166.2499999999454,3768.7499999999454,0,1406.25,4008.7499999999995
