strategy,Call_strike,Put_strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,entry_price_call,entry_price_put,entry_price_Index,Call_IV,Call_TV,Put_IV,Put_TV,exit_date,exit_time,exit_price,exit_action,exit_price_call,exit_price_put,exit_price_index,E_Call_IV,E_Call_TV,E_Put_IV,E_Put_TV,Call_IV_MTM,Call_TV_MTM,Put_IV_MTM,Put_TV_MTM,MTM
23400CE_23200PE,23400,23200,SELL,87.72,0,-75,20241121,928,73.1,51.65,21.45,23387.65,0,51.65,0,21.45,20241121,1515,0.35,INTRA,0.25,0.1,23353.1,0,0.25,0,0.1,0,3855.0,0,1601.2499999999998,5456.25
23400CE_23250PE,23400,23250,SELL,94.91999999999999,0,-75,20241121,930,79.1,50.65,28.45,23385.6,0,50.65,0,28.45,20241121,1515,0.35,INTRA,0.25,0.1,23353.1,0,0.25,0,0.1,0,3780.0,0,2126.25,5906.25
23400CE_23300PE,23400,23300,SELL,92.88000000000001,0,-75,20241121,943,77.4,23.0,54.4,23327.35,0,23.0,0,54.4,20241121,1515,0.4,INTRA,0.25,0.15,23353.1,0,0.25,0,0.15,0,1706.25,0,4068.75,5775.0
23400CE_23350PE,23400,23350,SELL,86.82,0,-75,20241121,1005,72.35,21.2,51.15,23372.2,0,21.2,0.0,51.15,20241121,1009,86.82,SSL,12.1,75.1,23326.55,0,12.1,23.450000000000728,51.64999999999927,0,682.5,-1758.7500000000546,-37.49999999994511,-1085.25
23400CE_23350PE,23400,23350,SELL,76.86,0,-150,20241121,1031,64.05,12.95,51.1,23343.8,0,12.95,6.200000000000728,44.899999999999274,20241121,1515,2.65,INTRA,0.25,2.4,23353.1,0,0.25,0.0,2.4,0,1905.0,930.0000000001091,6374.999999999891,9210.0
23450CE_23200PE,23450,23200,SELL,89.75999999999999,0,-75,20241121,923,74.8,44.35,30.45,23379.65,0,44.35,0,30.45,20241121,1515,0.25,INTRA,0.15,0.1,23353.1,0,0.15,0,0.1,0,3315.0,0,2276.25,5591.25
23450CE_23250PE,23450,23250,SELL,95.46,0,-75,20241121,925,79.55,34.05,45.5,23360.25,0,34.05,0,45.5,20241121,1515,0.25,INTRA,0.15,0.1,23353.1,0,0.15,0,0.1,0,2542.5,0,3405.0,5947.5
23450CE_23300PE,23450,23300,SELL,83.75999999999999,0,-75,20241121,943,69.8,15.4,54.4,23327.35,0,15.4,0,54.4,20241121,1515,0.3,INTRA,0.15,0.15,23353.1,0,0.15,0,0.15,0,1143.75,0,4068.75,5212.5
23450CE_23350PE,23450,23350,SELL,78.72,0,-150,20241121,1005,65.6,14.45,51.15,23372.2,0,14.45,0.0,51.15,20241121,1009,78.72,SSL,8.7,75.1,23326.55,0,8.7,23.450000000000728,51.64999999999927,0,862.5,-3517.500000000109,-74.99999999989022,-1968.0000000000007
23450CE_23350PE,23450,23350,SELL,71.94,0,-150,20241121,1031,59.95,8.85,51.1,23343.8,0,8.85,6.200000000000728,44.899999999999274,20241121,1515,2.55,INTRA,0.15,2.4,23353.1,0,0.15,0.0,2.4,0,1305.0,930.0000000001091,6374.999999999891,8610.0
23500CE_23200PE,23500,23200,SELL,88.13999999999999,0,-75,20241121,921,73.44999999999999,44.8,28.65,23415.75,0,44.8,0,28.65,20241121,1515,0.25,INTRA,0.15,0.1,23353.1,0,0.15,0,0.1,0,3348.75,0,2141.25,5489.999999999999
23500CE_23250PE,23500,23250,SELL,90.18,0,-75,20241121,923,75.15,31.8,43.35,23379.65,0,31.8,0,43.35,20241121,1515,0.25,INTRA,0.15,0.1,23353.1,0,0.15,0,0.1,0,2373.75,0,3243.75,5617.5
23500CE_23300PE,23500,23300,SELL,88.61999999999999,0,-75,20241121,928,73.85,24.8,49.05,23387.65,0,24.8,0,49.05,20241121,933,88.61999999999999,SSL,14.6,77.7,23321.6,0,14.6,0,77.7,0,765.0000000000001,0,-2148.7500000000005,-1107.7499999999998
23500CE_23300PE,23500,23300,SELL,78.84,0,-150,20241121,943,65.7,11.3,54.4,23327.35,0,11.3,0,54.4,20241121,1515,0.3,INTRA,0.15,0.15,23353.1,0,0.15,0,0.15,0,1672.5,0,8137.5,9810.0
23500CE_23350PE,23500,23350,SELL,74.46,0,-150,20241121,1005,62.05,10.9,51.15,23372.2,0,10.9,0,51.15,20241121,1009,74.46,SSL,6.5,75.1,23326.55,0,6.5,23.450000000000728,51.64999999999927,0,660.0,-3517.500000000109,-74.99999999989022,-1861.4999999999995
23500CE_23350PE,23500,23350,SELL,36.06,0,-225,20241121,1201,30.05,7.55,22.5,23363.0,0,7.55,0,22.5,20241121,1248,36.06,SSL,2.85,35.6,23335.7,0,2.85,14.299999999999272,21.30000000000073,0,1057.4999999999998,-3217.4999999998363,269.99999999983595,-1352.2500000000005
23550CE_23200PE,23550,23200,SELL,73.08,0,-150,20241121,921,60.9,32.25,28.65,23415.75,0,32.25,0,28.65,20241121,1515,0.25,INTRA,0.15,0.1,23353.1,0,0.15,0,0.1,0,4815.0,0,4282.5,9097.5
23550CE_23250PE,23550,23250,SELL,86.94,0,-75,20241121,921,72.45,32.25,40.2,23415.75,0,32.25,0,40.2,20241121,1515,0.25,INTRA,0.15,0.1,23353.1,0,0.15,0,0.1,0,2407.5,0,3007.5,5415.0
23550CE_23300PE,23550,23300,SELL,80.03999999999999,0,-75,20241121,928,66.69999999999999,17.65,49.05,23387.65,0,17.65,0,49.05,20241121,932,80.03999999999999,SSL,9.6,71.1,23331.15,0,9.6,0,71.1,0,603.7499999999999,0,-1653.7499999999998,-1000.5000000000002
23550CE_23300PE,23550,23300,SELL,74.88,0,-150,20241121,943,62.4,8.0,54.4,23327.35,0,8.0,0,54.4,20241121,1515,0.3,INTRA,0.15,0.15,23353.1,0,0.15,0,0.15,0,1177.5,0,8137.5,9315.0
23550CE_23350PE,23550,23350,SELL,70.86,0,-150,20241121,1005,59.05,7.9,51.15,23372.2,0,7.9,0,51.15,20241121,1009,70.86,SSL,4.8,75.1,23326.55,0,4.8,23.450000000000728,51.64999999999927,0,465.00000000000006,-3517.500000000109,-74.99999999989022,-1771.5000000000005
