strategy,Call_strike,Put_strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,entry_price_call,entry_price_put,entry_price_Index,Call_IV,Call_TV,Put_IV,Put_TV,exit_date,exit_time,exit_price,exit_action,exit_price_call,exit_price_put,exit_price_index,E_Call_IV,E_Call_TV,E_Put_IV,E_Put_TV,Call_IV_MTM,Call_TV_MTM,Put_IV_MTM,Put_TV_MTM,MTM
24350CE_24150PE,24350,24150,SELL,72.36,0,-150,20241024,940,60.3,51.8,8.5,24348.75,0,51.8,0,8.5,20241024,1000,72.36,SSL,71.6,2.4,24415.6,65.59999999999854,6.0000000000014495,0,2.4,-9839.999999999782,6869.999999999782,0,915.0,-1809.0000000000005
24350CE_24200PE,24350,24200,SELL,79.56,0,-75,20241024,940,66.3,51.8,14.5,24348.75,0,51.8,0,14.5,20241024,1001,79.56,SSL,76.6,3.6,24421.65,71.65000000000146,4.949999999998539,0,3.6,-5373.750000000109,3513.750000000109,0,817.5,-994.5000000000003
24350CE_24250PE,24350,24250,SELL,92.63999999999999,0,-75,20241024,940,77.19999999999999,51.8,25.4,24348.75,0,51.8,0,25.4,20241024,1008,92.63999999999999,SSL,96.35,4.65,24444.15,94.15000000000146,2.199999999998539,0,4.65,-7061.250000000109,3720.000000000109,0,1556.25,-1157.9999999999998
24350CE_24300PE,24350,24300,SELL,95.46,0,-75,20241024,947,79.55,52.4,27.15,24370.65,20.650000000001455,31.749999999998543,0,27.15,20241024,1008,95.46,SSL,96.35,7.3,24444.15,94.15000000000146,2.199999999998539,0,7.3,-5512.5,2216.2500000000005,0,1488.7499999999998,-1193.2499999999998
24350CE_24400PE,24350,24400,SELL,86.82,0,-75,20241024,1152,72.35,52.95,19.4,24407.8,57.79999999999927,-4.84999999999927,0,19.4,20241024,1515,51.449999999999996,INTRA,51.15,0.3,24409.1,59.099999999998545,-7.949999999998546,0,0.3,-97.49999999994543,232.49999999994574,0,1432.4999999999998,1567.5
24400CE_24150PE,24400,24150,SELL,58.8,0,-150,20241024,936,49.0,41.0,8.0,24373.15,0,41.0,0,8.0,20241024,1008,58.8,SSL,57.55,2.15,24444.15,44.150000000001455,13.399999999998542,0,2.15,-6622.500000000218,4140.000000000218,0,877.5,-1469.9999999999995
24400CE_24200PE,24400,24200,SELL,72.12,0,-150,20241024,933,60.1,50.35,9.75,24398.25,0,50.35,0,9.75,20241024,1515,1.45,INTRA,1.4,0.05,24409.1,9.099999999998545,-7.6999999999985445,0,0.05,-1364.9999999997817,8707.499999999782,0,1455.0,8797.5
24400CE_24250PE,24400,24250,SELL,79.2,0,-75,20241024,933,66.0,50.35,15.65,24398.25,0,50.35,0,15.65,20241024,1515,1.45,INTRA,1.4,0.05,24409.1,9.099999999998545,-7.6999999999985445,0,0.05,-682.4999999998909,4353.749999999891,0,1170.0,4841.25
24400CE_24300PE,24400,24300,SELL,91.02,0,-75,20241024,933,75.85,50.35,25.5,24398.25,0,50.35,0,25.5,20241024,1515,1.5,INTRA,1.4,0.1,24409.1,9.099999999998545,-7.6999999999985445,0,0.1,-682.4999999998909,4353.749999999891,0,1905.0,5576.25
24400CE_24350PE,24400,24350,SELL,92.94,0,-75,20241024,946,77.45,34.45,43.0,24373.0,0,34.45,0,43.0,20241024,1515,1.5,INTRA,1.4,0.1,24409.1,9.099999999998545,-7.6999999999985445,0,0.1,-682.4999999998909,3161.2499999998913,0,3217.5,5696.25
24400CE_24400PE,24400,24400,SELL,94.56000000000002,0,-75,20241024,1002,78.80000000000001,42.2,36.6,24417.45,17.450000000000728,24.749999999999275,0,36.6,20241024,1515,1.7,INTRA,1.4,0.3,24409.1,9.099999999998545,-7.6999999999985445,0,0.3,626.2500000001637,2433.7499999998367,0,2722.5000000000005,5782.500000000001
24400CE_24450PE,24400,24450,SELL,94.98,0,-75,20241024,1102,79.15,29.7,49.45,24407.8,7.799999999999272,21.900000000000727,42.20000000000073,7.249999999999275,20241024,1515,50.3,INTRA,1.4,48.9,24409.1,9.099999999998545,-7.6999999999985445,40.900000000001455,7.999999999998543,-97.49999999994543,2219.9999999999454,97.49999999994543,-56.24999999994511,2163.7500000000005
24450CE_24150PE,24450,24150,SELL,40.32,0,-150,20241024,936,33.6,25.6,8.0,24373.15,0,25.6,0,8.0,20241024,1515,0.15000000000000002,INTRA,0.1,0.05,24409.1,0.0,0.1,0,0.05,0.0,3825.0,0,1192.5,5017.5
24450CE_24200PE,24450,24200,SELL,74.28,0,-150,20241024,924,61.9,54.25,7.65,24430.75,0,54.25,0,7.65,20241024,1515,0.15000000000000002,INTRA,0.1,0.05,24409.1,0.0,0.1,0,0.05,0.0,8122.5,0,1140.0,9262.5
