strategy,Call_strike,Put_strike,entry_action,SL,TP,qty,entry_date,entry_time,entry_price,entry_price_call,entry_price_put,entry_price_Index,Call_IV,Call_TV,Put_IV,Put_TV,exit_date,exit_time,exit_price,exit_action,exit_price_call,exit_price_put,exit_price_index,E_Call_IV,E_Call_TV,E_Put_IV,E_Put_TV,Call_IV_MTM,Call_TV_MTM,Put_IV_MTM,Put_TV_MTM,MTM
22500CE_22450PE,22500,22450,SELL,71.16000000000001,0,-150,20250227,1022,59.300000000000004,51.2,8.1,22531.45,31.450000000000728,19.749999999999275,0,8.1,20250227,1043,71.16000000000001,SSL,66.7,5.15,22552.2,52.20000000000073,14.499999999999275,0,5.15,-3112.5,787.5,0,442.4999999999999,-1779.000000000001
22500CE_22500PE,22500,22500,SELL,78.66,0,-150,20250227,1022,65.55,51.2,14.35,22531.45,31.450000000000728,19.749999999999275,0,14.35,20250227,1051,78.66,SSL,73.3,6.75,22561.3,61.29999999999927,12.000000000000725,0,6.75,-4477.499999999782,1162.4999999997826,0,1140.0,-1966.5
22500CE_22500PE,22500,22500,SELL,74.58,0,-150,20250227,1133,62.15,54.15,8.0,22536.3,36.29999999999927,17.850000000000726,0,8.0,20250227,1515,48.650000000000006,INTRA,48.45,0.2,22545.35,45.349999999998545,3.100000000001458,0,0.2,-1357.4999999998909,2212.4999999998904,0,1170.0,2024.9999999999989
22500CE_22550PE,22500,22550,SELL,95.82,0,-75,20250227,1028,79.85,54.45,25.4,22535.65,35.650000000001455,18.799999999998548,14.349999999998545,11.050000000001454,20250227,1515,50.75,INTRA,48.45,2.3,22545.35,45.349999999998545,3.100000000001458,4.650000000001455,-2.3500000000014554,-727.4999999997817,1177.4999999997817,727.4999999997817,1005.0000000002182,2182.4999999999995
22550CE_22450PE,22550,22450,SELL,75.54,0,-150,20250227,924,62.95,54.0,8.95,22568.5,18.5,35.5,0,8.95,20250227,1515,0.6,INTRA,0.5,0.1,22545.35,0.0,0.5,0,0.1,2775.0,5250.0,0,1327.5,9352.5
22550CE_22500PE,22550,22500,SELL,80.75999999999999,0,-75,20250227,924,67.3,54.0,13.3,22568.5,18.5,35.5,0,13.3,20250227,1515,0.7,INTRA,0.5,0.2,22545.35,0.0,0.5,0,0.2,1387.5,2625.0,0,982.5000000000001,4995.0
22550CE_22550PE,22550,22550,SELL,91.44,0,-75,20250227,924,76.2,54.0,22.2,22568.5,18.5,35.5,0,22.2,20250227,1515,2.8,INTRA,0.5,2.3,22545.35,0.0,0.5,4.650000000001455,-2.3500000000014554,1387.5,2625.0,-348.75000000010914,1841.2500000001091,5505.0
22550CE_22600PE,22550,22600,SELL,95.93999999999998,0,-75,20250227,946,79.94999999999999,33.9,46.05,22563.4,13.400000000001455,20.499999999998543,36.599999999998545,9.450000000001452,20250227,1515,52.0,INTRA,0.5,51.5,22545.35,0.0,0.5,54.650000000001455,-3.150000000001455,1005.0000000001091,1499.9999999998909,-1353.7500000002183,945.000000000218,2096.249999999999
22600CE_22450PE,22600,22450,SELL,36.54,0,-225,20250227,924,30.45,21.5,8.95,22568.5,0.0,21.5,0,8.95,20250227,1515,0.2,INTRA,0.1,0.1,22545.35,0.0,0.1,0,0.1,0.0,4815.0,0,1991.25,6806.25
22600CE_22500PE,22600,22500,SELL,48.540000000000006,0,-150,20250227,921,40.45,30.15,10.3,22591.0,0.0,30.15,0,10.3,20250227,1515,0.30000000000000004,INTRA,0.1,0.2,22545.35,0.0,0.1,0,0.2,0.0,4507.5,0,1515.0000000000002,6022.500000000001
22600CE_22550PE,22600,22550,SELL,55.08,0,-150,20250227,921,45.9,30.15,15.75,22591.0,0.0,30.15,0,15.75,20250227,1515,2.4,INTRA,0.1,2.3,22545.35,0.0,0.1,4.650000000001455,-2.3500000000014554,0.0,4507.5,-697.5000000002183,2715.0000000002183,6525.0
22600CE_22600PE,22600,22600,SELL,69.47999999999999,0,-150,20250227,921,57.9,30.15,27.75,22591.0,0.0,30.15,9.0,18.75,20250227,938,69.47999999999999,SSL,12.75,59.5,22541.75,0.0,12.75,58.25,1.25,0.0,2610.0,-7387.5,2625.0,-1736.9999999999986
22600CE_22600PE,22600,22600,SELL,70.2,0,-150,20250227,946,58.5,12.45,46.05,22563.4,0.0,12.45,36.599999999998545,9.450000000001452,20250227,951,70.2,SSL,10.0,61.0,22541.2,0.0,10.0,58.79999999999927,2.2000000000007276,0.0,367.4999999999999,-3330.000000000109,1087.5000000001087,-1755.0000000000005
22650CE_22450PE,22650,22450,SELL,21.3,0,-300,20250227,924,17.75,8.8,8.95,22568.5,0.0,8.8,0,8.95,20250227,1515,0.2,INTRA,0.1,0.1,22545.35,0.0,0.1,0,0.1,0.0,2610.0000000000005,0,2655.0,5265.0
22650CE_22500PE,22650,22500,SELL,26.340000000000003,0,-300,20250227,921,21.950000000000003,11.65,10.3,22591.0,0.0,11.65,0,10.3,20250227,1515,0.30000000000000004,INTRA,0.1,0.2,22545.35,0.0,0.1,0,0.2,0.0,3465.0,0,3030.0000000000005,6495.000000000001
22650CE_22550PE,22650,22550,SELL,32.879999999999995,0,-225,20250227,921,27.4,11.65,15.75,22591.0,0.0,11.65,0,15.75,20250227,938,32.879999999999995,SSL,6.2,30.35,22541.75,0.0,6.2,8.25,22.1,0.0,1226.25,-1856.25,-1428.7500000000002,-1232.9999999999993
